name,price
100 PIPER’S WHISKY 1 LTR;,"24,000.00"
100 PIPER’S WHISKY 70 CL;,"18,500.00"
ABERLOUR 12 YRS SINGLE MALT WHISKY 70 CL;,"240,000.00 192,000.00"
ABERLOUR 16 YRS SINGLE MALT WHISKY 70 CL;,"350,000.00"
ABERLOUR 18 YRS SINGLE MALT WHISKY 50 CL;,"590,000.00"
ABSOLUT 100 BLACK VODKA 1 LTR;,"25,000.00"
ABSOLUT APEACH VODKA 1 LTR;,"44,500.00"
ABSOLUT APEACH VODKA 75CL;,"16,500.00"
ABSOLUT BERRIACAI VODKA 1 LTR;,
ABSOLUT CITRON VODKA 1 LTR;,"44,500.00"
ABSOLUT CITRON VODKA 75CL;,
ABSOLUT COLOURS ( RAINBOW ) VODKA 70 CL;,"44,000.00 37,400.00"
ABSOLUT ELYX VODKA 70CL;,"51,000.00 40,800.00"
ABSOLUT EOY 2020 LIMITED EDITION VODKA 70 CL;,"46,000.00 36,800.00"
ABSOLUT GRAPE VODKA 1 LTR;,
ABSOLUT HONEY VODKA 1 LTR;,"19,000.00"
ABSOLUT KURANT VODKA 1 LTR;,"44,500.00"
ABSOLUT KURANT VODKA 75CL;,"16,500.00"
ABSOLUT MANDRIN VODKA 1 LTR;,"44,500.00"
ABSOLUT MANDRIN VODKA 75CL;,"16,500.00"
ABSOLUT MANGO VODKA 75CL;,"38,000.00"
ABSOLUT OAK VODKA 1 LTR;,"21,000.00"
ABSOLUT PEAR VODKA 75CL;,"38,000.00"
ABSOLUT PEPPAR VODKA 1 LTR;,"44,500.00"
ABSOLUT PEPPAR VODKA 75CL;,"17,000.00"
ABSOLUT RED RUBY VODKA 1 LTR;,"44,500.00"
ABSOLUT RED RUBY VODKA 75 CL;,
ABSOLUT RESBERRI VODKA 1 LTR;,"19,500.00"
ABSOLUT RESBERRI VODKA 75CL;,"18,000.00"
ABSOLUT VANILLA VODKA 1 LTR;,"19,500.00"
ABSOLUT VANILLA VODKA 75CL;,"16,500.00"
ABSOLUT VODKA 1 LTR;,"18,500.00"
ABSOLUT VODKA 75CL;,"15,500.00"
ABSOLUT WATERMELON VODKA 70 CL;,"38,000.00"
BALLANTINE FINEST WHISKY 75 CL; (JOUSHA VIDES LIMITED EDITION),"49,500.00"
BALLANTINE’S FINEST WHISKY 75CL (HEED),"49,500.00"
BALLANTINE’S WHISKY 12 YRS 70CL;,"79,500.00"
BALLANTINE’S WHISKY 17 YRS 70 CL;,"181,000.00"
BALLANTINE’S WHISKY 21YRS 70CL;,"307,000.00"
BALLANTINE’S WHISKY 30 YRS 70CL;,"1,080,000.00"
BEEFEATER,
BIN 222 CHARDONNAY,
BIN 444 CABERNET SAUVIGNON,
BIN 555 SHIRAZ,
BIN 888 CABERNET MERLOT,
BIN 999 MERLOT,
BRANCOTT PINOT NOIR,
BRANCOTT SAUVIGNON BLANC,
CAMPO VIEJO BLANCO,
CHIVAS 12 YRS RESTAGE WHISKY 70 CL;,"72,000.00 66,960.00"
"CHIVAS 12 YRS WHISKY 70 CL; (ANDY COLE, MANCHESTER UNITED LIMITED EDITION )","44,000.00"
CHIVAS 18 YRS JAPANESE OAK WHISKY 1 LTR;,"340,000.00"
CHIVAS 18 YRS WHISKY 1 LTR;,"295,000.00"
CHIVAS 18 YRS WHISKY 70 CL;,"193,000.00 173,700.00"
CHIVAS 25 YRS WHISKY 70 CL;,"910,000.00"
CHIVAS REGAL EXTRA 13 YRS AMERICAN RYE BLENDED SCOTCH WHISKY 70 CL;,"105,000.00"
CHIVAS REGAL EXTRA 13 YRS SHERRY CASK BLENDED SCOTCH WHISKY 70 CL;,"105,000.00"
CHIVAS REGAL MIZUNARA WHISKY 70 CL;,"133,000.00 106,400.00"
CHIVAS XV GOLD WHISKY 70 CL;,"126,000.00 100,800.00"
GLENLIVET 12 YRS SINGLE MALT WHISKY 75 CL;,"146,000.00"
GLENLIVET 15 YRS SINGLE MALT WHISKY 70 CL;,"215,000.00"
GLENLIVET 18 YRS SINGLE MALT WHISKY 70 CL;,"312,000.00"
GLENLIVET 21 YRS SINGLE MALT WHISKY 70 CL;,"730,000.00"
GLENLIVET 25 YRS SINGLE MALT WHISKY 70 CL;,
GLENLIVET FOUNDER’S RESERVE ESTD 1824 SINGLE MALT WHISKY 75 CL;,"125,000.00"
HAVANA CLUB,
JACK DANIEL’S WHISKY 1 LTR;,"72,000.00"
JACOB’S CREEK CLASSIC CABERNET SAUVIGNON,
JACOB’S CREEK CLASSIC CHARDONNAY,
JACOB’S CREEK CLASSIC MERLOT,
JACOB’S CREEK CLASSIC SHIRAZ CABERNET,
JACOB’S CREEK RESERVE SHIRAZ,
JACOB’S CREEK SPARKLING MOSCATO,
JACOB’S CREEK SPARKLING MOSCATO ROSE,
JAMESON,"59,500.00"
KAHLUA,
MALIBU,
MARTELL CORDON BLUE COGNAC 70 CL;,"455,000.00"
MARTELL VSOP COGNAC 70 CL;,"183,000.00"
MARTELL XO COGNAC 70 CL;,"762,000.00"
MONKEY 47 GIN 50 CL;,"115,000.00"
MUMM CORDON ROUGE,
MUMM_LE-ROSE,
RICARD,
